, ,,,,,,SALES,,,,,,,,,,,,SALES VALUE,CLOSING STOCK
CODE,DESCRIPTION, CP (BP), CP (GHC) , PRICE ,STOCK AT HAND, STOCK VALUE ,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,,
,WHITE SOCKS- SCHOOL (7PCK), £ 3.00 , GHC  60.00 , GHC  12.00 ,49, GHC  588.00 ,,,,,,,,,,,,, GHC  -   ,49
,WHITE SOCKS- SCHOOL (5PCK), £ 3.00 , GHC  60.00 , GHC  12.00 ,40, GHC  480.00 ,,,,,,,,,,,,, GHC  -   ,40
,WHITE SOCKS- LACE (5PCK), £ 3.00 , GHC  60.00 , GHC  12.00 ,4, GHC  48.00 ,,,,,,,,,,,,, GHC  -   ,4
,X, £ -   , GHC  -   , GHC  12.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,BLACK SOCKS- SCHOOL (5PCK), £ 0.60 , GHC  12.00 , GHC  18.00 ,9, GHC  162.00 ,,,,,,,,,,,,, GHC  -   ,9
,BLACK SOCKS - MEN , £ 0.43 , GHC  8.60 , GHC  15.00 ,14, GHC  210.00 ,,,,,,,,,,,,, GHC  -   ,14
,BOXER SHORTS - MEN (3PCK), £ 5.00 , GHC  120.00 , GHC  9.00 ,250," GHC  2,250.00 ",,,,,,,,,,,,, GHC  -   ,250
,BRIEFS (SHORTS) - KIDS STITCH (6PCK), £ 5.00 , GHC  100.00 , GHC  155.00 ,1, GHC  155.00 ,,,,,,,,,,,,, GHC  -   ,1
,BRIEFS - KIDS DREAMERS (6PCK), £ 5.00 , GHC  100.00 , GHC  150.00 ,1, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,1
,BRIEFS AGES 9-13, £ 5.00 , GHC  100.00 , GHC  150.00 ,7," GHC  1,050.00 ",,,,,,,,,,,,, GHC  -   ,7
,BRIEFS - LADIES (4PCK), £ 4.00 , GHC  80.00 , GHC  150.00 ,6, GHC  900.00 ,,,,,,,,,,,,, GHC  -   ,6
,LEGGINGS - BLACK GREY/ NAVY, £ 3.00 , GHC  60.00 , GHC  95.00 ,3, GHC  170.00 ,,,,,,,,,,,,, GHC  -   ,3
,INNER TOP - LADIES, £ 2.00 , GHC  40.00 , GHC  55.00 ,33," GHC  1,815.00 ",,,,,,,,,,,,, GHC  -   ,33
,VEST - GIRLS, £ -   , GHC  18.00 , GHC  30.00 ,3, GHC  90.00 ,,,,,,,,,,,,, GHC  -   ,3
,POLO SHIRT LACOSTE - MEN, £ 9.00 , GHC  180.00 , GHC  280.00 ,8," GHC  2,240.00 ",,,,,,,,,,,,, GHC  -   ,8
,SHIRT STRIPPED M&S - MEN, £ 12.00 , GHC  240.00 , GHC  300.00 ,1, GHC  300.00 ,,,,,,,,,,,,, GHC  -   ,1
,SHIRT PLAIN - MEN, £ -   , GHC  120.00 , GHC  170.00 ,1, GHC  170.00 ,,,,,,,,,,,,, GHC  -   ,1
,SHIRT JOHN SPARKS US - MEN, £ -   , GHC  120.00 , GHC  170.00 ,1, GHC  170.00 ,,,,,,,,,,,,, GHC  -   ,1
,SHIRT KIDS, £ -   , GHC  40.00 , GHC  70.00 ,1, GHC  70.00 ,,,,,,,,,,,,, GHC  -   ,1
,BOXER TRUNKS - KIDS (3PCK), £ 5.00 , GHC  100.00 , GHC  85.00 ,3, GHC  255.00 ,,,,,,,,,,,,, GHC  -   ,3
,UNDER SHIRT CHASE DEER, £ -   , GHC  40.00 , GHC  65.00 ,1, GHC  65.00 ,,,,,,,,,,,,, GHC  -   ,1
,SINGLET CHASE DEER, £ -   , GHC  20.00 , GHC  35.00 ,1, GHC  35.00 ,,,,,,,,,,,,, GHC  -   ,1
,BOYS SOCKS, £ -   , GHC  10.00 , GHC  15.00 ,15, GHC  225.00 ,,,,,,,,,,,,, GHC  -   ,15
,PANTS LADIES - AUNTY NANA, £ -   , GHC  -   , GHC  15.00 ,10, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,10
,DRESS GIRLS - FORMAL, £ -   , GHC  -   , GHC  150.00 ,3, GHC  450.00 ,,,,,,,,,,,,, GHC  -   ,3
,DRESS GIRLS - CASUAL, £ -   , GHC  -   , GHC  60.00 ,1, GHC  60.00 ,,,,,,,,,,,,, GHC  -   ,1
,SHIRT BOYS ZARA, £ -   , GHC  -   , GHC  60.00 ,1, GHC  60.00 ,,,,,,,,,,,,, GHC  -   ,1
,TROUSERS BOYS, £ -   , GHC  -   , GHC  80.00 ,4, GHC  320.00 ,,,,,,,,,,,,, GHC  -   ,4
,TOPS LADIES - CASUAL, £ -   , GHC  -   , GHC  40.00 ,7, GHC  280.00 ,,,,,,,,,,,,, GHC  -   ,7
,DRESSES MAMAA, £ -   , GHC  50.00 , GHC  100.00 ,2, GHC  200.00 ,,,,,,,,,,,,, GHC  -   ,2
,DRESSES ESI, £ -   , GHC  -   , GHC  100.00 ,2, GHC  200.00 ,,,,,,,,,,,,, GHC  -   ,2
,BLACK DRESS ESI, £ 9.00 , GHC  180.00 , GHC  150.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,BLUE DRESS, £ -   , GHC  80.00 , GHC  120.00 ,1, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,1
,BLACK AND WHITE DRESS - AUNTY NANA, £ -   , GHC  60.00 , GHC  100.00 ,1, GHC  100.00 ,,,,,,,,,,,,, GHC  -   ,1
,DRESS FLORA M&S, £ -   , GHC  70.00 , GHC  120.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,DRESS GREEN AUNTY NANA, £ -   , GHC  70.00 , GHC  180.00 ,  1 , GHC  180.00 ,,,,,,,,,,,,, GHC  -   ,1
,DRESS WITH JACKET AUNTY NANA, £ -   , GHC  100.00 , GHC  250.00 ,  1 , GHC  250.00 ,,,,,,,,,,,,, GHC  -   ,1
,SKIRT LONG - BLACK, £ -   , GHC  80.00 , GHC  150.00 ,1, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,1
,SKIRT MARKS & SPENCER, £ 5.00 , GHC  100.00 , GHC  150.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,TOP F&F, £ 4.00 , GHC  80.00 , GHC  100.00 ,1, GHC  100.00 ,,,,,,,,,,,,, GHC  -   ,1
,DRESS NEXT - MULTICOLOURED, £ -   , GHC  -   , GHC  80.00 ,1, GHC  80.00 ,,,,,,,,,,,,, GHC  -   ,1
,3/4 DENIM PANTS, £ -   , GHC  25.00 , GHC  50.00 ,2, GHC  100.00 ,,,,,,,,,,,,, GHC  -   ,2
,TROUSERS  , £ -   , GHC  30.00 , GHC  60.00 ,3, GHC  180.00 ,,,,,,,,,,,,, GHC  -   ,3
SHOES,,,,,,,,,,,,,,,,,,,,
,CLARKS, £ 11.00 , GHC  231.00 , GHC  450.00 ,2, GHC  900.00 ,,,,,,,,,,,,, GHC  -   ,2
,HEELS M&S PURPLE , £ 9.00 , GHC  189.00 , GHC  280.00 ,1, GHC  280.00 ,,,,,,,,,,,,, GHC  -   ,1
,GRACELAND KIDS, £ 5.00 , GHC  105.00 , GHC  260.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,SUEDE NEW LOOK, £ 5.00 , GHC  105.00 , GHC  190.00 ,1, GHC  190.00 ,,,,,,,,,,,,, GHC  -   ,1
,FLATS PRIMARK - BROWN, £ 5.00 , GHC  105.00 , GHC  160.00 ,1, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,1
,FLATS PRIMARK - CREAM, £ 4.00 , GHC  84.00 , GHC  140.00 ,1, GHC  140.00 ,,,,,,,,,,,,, GHC  -   ,1
,SANDALS US - WHITE, £ -   , GHC  200.00 , GHC  250.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,GIRLS SHOES TINA, £ -   , GHC  200.00 , GHC  260.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,SANDALS GIRLS , £ 4.00 , GHC  80.00 , GHC  100.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,CANVAS SHOE H&M, £ 7.00 , GHC  147.00 , GHC  160.00 ,1, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,1
,BOYS SHOES, £ -   , GHC  200.00 , GHC  260.00 ,2, GHC  520.00 ,,,,,,,,,,,,, GHC  -   ,2
,BOYS CLARKS, £ 5.00 , GHC  105.00 , GHC  120.00 ,1, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,1
,GIRLS SCHOOL SHOES - BLACK, £ -   , GHC  180.00 , GHC  250.00 ,1, GHC  250.00 ,,,,,,,,,,,,, GHC  -   ,1
,LADIES BLK SHOES BUCKLE PRI, £ 12.00 , GHC  252.00 , GHC  240.00 ,1, GHC  350.00 ,,,,,,,,,,,,, GHC  -   ,1
,LADIIES FLAT SHOES PRI NEW BROWN, £ 5.00 , GHC  105.00 , GHC  100.00 ,1, GHC  230.00 ,,,,,,,,,,,,, GHC  -   ,1
,LADIES FLAT SHOES PEE CREAM,, GHC  100.00 , GHC  180.00 ,1, GHC  350.00 ,,,,,,,,,,,,, GHC  -   ,1
,LADIES WATCHES US, £ 9.30 , GHC  195.30 , GHC  320.00 ,4," GHC  1,280.00 ",,,,,,,,,,,,, GHC  -   ,4
,VICTORIA SECRET, £ 11.20 , GHC  235.20 , GHC  250.00 ,3," GHC  1,500.00 ",,,,,,,,,,,,, GHC  -   ,3
,BODY AND BATH MIST US, £ 7.40 , GHC  155.40 , GHC  180.00 ,2," GHC  1,080.00 ",,,,,,,,,,,,, GHC  -   ,2
,,,,,0,,,,,,,,,,,,,, GHC  -   ,0