CODE,DESCRIPTION, CP (BP), CP (GHC) , PRICE ,STOCK AT HAND, STOCK VALUE ,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,SALES VALUE,CLOSING STOCK
,CLARKS, £ 11.00 , GHC  231.00 , GHC  450.00 ,2, GHC  900.00 ,,,,,,,,,,,,, GHC  -   ,2
,HEELS M&S PURPLE , £ 9.00 , GHC  189.00 , GHC  280.00 ,1, GHC  280.00 ,,,,,,,,,,,,, GHC  -   ,1
,GRACELAND KIDS, £ 5.00 , GHC  105.00 , GHC  260.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,SUEDE NEW LOOK, £ 5.00 , GHC  105.00 , GHC  190.00 ,1, GHC  190.00 ,,,,,,,,,,,,, GHC  -   ,1
,FLATS PRIMARK - BROWN, £ 5.00 , GHC  105.00 , GHC  160.00 ,1, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,1
,FLATS PRIMARK - CREAM, £ 4.00 , GHC  84.00 , GHC  140.00 ,1, GHC  140.00 ,,,,,,,,,,,,, GHC  -   ,1
,SANDALS US - WHITE, £ -   , GHC  200.00 , GHC  250.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,GIRLS SHOES TINA, £ -   , GHC  200.00 , GHC  260.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,SANDALS GIRLS , £ 4.00 , GHC  80.00 , GHC  100.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0
,CANVAS SHOE H&M, £ 7.00 , GHC  147.00 , GHC  160.00 ,1, GHC  160.00 ,,,,,,,,,,,,, GHC  -   ,1
,BOYS SHOES, £ -   , GHC  200.00 , GHC  260.00 ,2, GHC  520.00 ,,,,,,,,,,,,, GHC  -   ,2
,BOYS CLARKS, £ 5.00 , GHC  105.00 , GHC  120.00 ,1, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,1
,GIRLS SCHOOL SHOES - BLACK, £ -   , GHC  180.00 , GHC  250.00 ,1, GHC  250.00 ,,,,,,,,,,,,, GHC  -   ,1
,LADIES BLK SHOES BUCKLE PRI, £ 12.00 , GHC  252.00 , GHC  240.00 ,1, GHC  350.00 ,,,,,,,,,,,,, GHC  -   ,1
,LADIIES FLAT SHOES PRI NEW BROWN, £ 5.00 , GHC  105.00 , GHC  100.00 ,1, GHC  230.00 ,,,,,,,,,,,,, GHC  -   ,1
,LADIES FLAT SHOES PEE CREAM,, GHC  100.00 , GHC  180.00 ,1, GHC  350.00 ,,,,,,,,,,,,, GHC  -   ,1